TID,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22,Product23,Product24,Product25,Product26,Product27,Product28,Product29,Product30,Product31,Product32,Product33,Product34,Product35,Product36,Product37,Product38,Product39,Product40
177,domestic,eggs,specialty,bar,seasonal,products,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,coffee,misc.,beverages,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,curd,flour,Ginger,powder,(appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Frozen,beef,slices,frozen,potato,products,white,bread,pastry,cat,food,bottled,water,soda,candy,sound,storage,medium,shopping,bags,,,,,,,,,,,,,,,,,,,,
182,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Frozen,beef,slicesburger,meat,tropical,fruit,root,vegetables,whole,milk,frozen,meals,rolls/buns,pasta,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
184,Halawa,packaged,fruit/vegetables,soft,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,sausage,other,vegetables,yogurt,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,rolls/buns,pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,butter,domestic,eggs,flour,soups,baking,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,citrus,fruit,whole,milk,yogurt,spread,cheese,brown,bread,Pepsi,Powedered,honny,long,life,bakery,product,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,
189,tropical,fruit,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,yogurt,whipped/sour,cream,flour,margarine,sugar,baking,powder,cat,food,soda,fruit/vegetable,juice,chocolate,hygiene,articles,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,
191,Martadella,citrus,fruit,root,vegetables,whole,milk,dessert,yogurt,frozen,fish,margarine,pickled,vegetables,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,
192,tropical,fruit,dessert,yogurt,domestic,eggs,oil,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Frozen,beef,slices,root,vegetables,whipped/sour,cream,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,yogurt,cream,cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,organic,sausage,citrus,fruit,whole,milk,whipped/sour,cream,hard,cheese,rolls/buns,pastry,Pepsi,long,life,bakery,product,detergent,napkins,house,keeping,products,candles,,,,,,,,,,,,,,,,,
196,Frozen,beef,slicesburger,meat,yogurt,margarine,sauces,canned,vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,whipped/sour,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Martadella,root,vegetables,other,vegetables,whole,milk,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,salty,snack,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,beverages,frozen,vegetables,soda,fruit/vegetable,juice,popcorn,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,chicken,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,fruit/vegetable,juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,tropical,fruit,whole,milk,cream,cheese,processed,cheese,rolls/buns,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,beef,whipped/sour,cream,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,beef,packaged,fruit/vegetables,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,brown,bread,hair,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,butter,rolls/buns,pastry,bottled,water,Canned,Pepsi,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,sausage,fish,other,vegetables,brown,bread,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,whole,milk,yogurt,hard,cheese,cream,cheese,margarine,sugar,misc.,beverages,detergent,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,sausage,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Halawa,onions,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Halawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,hard,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,onions,dessert,yogurt,domestic,eggs,rolls/buns,brown,bread,pastry,cat,food,bottled,water,soda,fruit/vegetable,juice,long,life,bakery,product,chocolate,female,sanitary,products,napkins,,,,,,,,,,,,,,,
220,tropical,fruit,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,beef,citrus,fruit,pip,fruit,root,vegetables,other,vegetables,whipped/sour,cream,margarine,canned,vegetables,cat,food,shopping,bags,,,,,,,,,,,,,,,,,,,,,,
222,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Halawa,whole,milk,frozen,meals,domestic,eggs,white,bread,pastry,Pepsi,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Martadella,other,vegetables,specialty,fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,sausage,other,vegetables,sliced,cheese,rolls/buns,coffee,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,sausage,citrus,fruit,tropical,fruit,grapes,other,vegetables,packaged,fruit/vegetables,butter,curd,butter,milk,yogurt,brown,bread,flour,fruit/vegetable,juice,waffles,candy,shopping,bags,,,,,,,,,,,,,,,,
228,finished,products,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Frozen,beef,slices,pip,fruit,herbs,other,vegetables,butter,rolls/buns,white,bread,oil,canned,fish,soda,,,,,,,,,,,,,,,,,,,,,,,,
230,meat,other,vegetables,pickled,vegetables,coffee,Ginger,powder,long,life,bakery,product,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,sausage,tropical,fruit,berries,other,vegetables,dessert,frozen,fish,frozen,potato,products,red/blush,wine,seasonal,products,,,,,,,,,,,,,,,,,,,,,,,,
232,other,vegetables,hard,cheese,frozen,vegetables,fruit/vegetable,juice,long,life,bakery,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Halawa,sausage,rolls/buns,brown,bread,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,sausage,citrus,fruit,tropical,fruit,other,vegetables,whole,milk,yogurt,rolls/buns,bottled,water,soda,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
239,Frozen,beef,slicesburger,meat,other,vegetables,hard,cheese,frozen,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Martadella,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Canned,Pepsi,Powedered,honny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,citrus,fruit,yogurt,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,butter,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,white,bread,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,bottled,water,misc.,beverages,cooking,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,sausage,pip,fruit,whole,milk,potato,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,bottled,water,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,other,vegetables,curd,yogurt,curd,cheese,margarine,cleaner,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,curd,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,sausage,Frozen,beef,slices,tropical,fruit,whole,milk,butter,processed,cheese,rolls/buns,potato,products,rice,margarine,cereals,cat,food,fruit/vegetable,juice,Pepsi,chocolate,napkins,,,,,,,,,,,,,,,,
255,Halawa,sausage,whole,milk,rolls/buns,oil,cocoa,drinks,kitchen,towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,citrus,fruit,pip,fruit,other,vegetables,whole,milk,butter,yogurt,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Martadella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,chicken,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,whole,milk,brown,bread,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,domestic,eggs,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,beef,cat,food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Frozen,beef,slicesburger,meat,onions,whole,milk,frozen,vegetables,bottled,water,rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,other,vegetables,whole,milk,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,finished,products,other,vegetables,long,life,bakery,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Frozen,beef,slices,whole,milk,domestic,eggs,tea,bottled,water,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,beef,dessert,sugar,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,cling,film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,citrus,fruit,whole,milk,butter,milk,whipped/sour,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,citrus,fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,berries,packaged,fruit/vegetables,whole,milk,ice,cream,fruit/vegetable,juice,salty,snack,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,soda,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,pastry,pickled,vegetables,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,soda,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Pepsi,seasonal,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,sausage,whole,milk,rolls/buns,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Halawa,onions,butter,milk,spices,soups,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,frozen,fish,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Martadella,citrus,fruit,grapes,root,vegetables,whole,milk,ready,soups,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,meat,citrus,fruit,root,vegetables,whole,milk,dessert,yogurt,waffles,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,herbs,other,vegetables,hygiene,articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,chicken,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Halawa,beef,other,vegetables,cream,cheese,domestic,eggs,baking,powder,salty,snack,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,
287,tropical,fruit,other,vegetables,yogurt,spread,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Frozen,beef,slicesburger,meat,whipped/sour,cream,cream,cheese,rolls/buns,pasta,canned,fish,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Martadella,Frozen,beef,slicesburger,meat,pip,fruit,grapes,root,vegetables,other,vegetables,whole,milk,yogurt,cream,cheese,frozen,dessert,sugar,meat,spreads,soda,fruit/vegetable,juice,,,,,,,,,,,,,,,
290,tropical,fruit,pip,fruit,whole,milk,rolls/buns,pastry,fruit/vegetable,juice,salty,snack,detergent,make,up,remover,,,,,,,,,,,,,,,,,,,,,,,,
291,soda,syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Martadella,citrus,fruit,other,vegetables,domestic,eggs,margarine,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,sausage,UHT-milk,flour,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,berries,root,vegetables,other,vegetables,butter,milk,yogurt,mayonnaise,zwieback,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,root,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,citrus,fruit,pip,fruit,whole,milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,rolls/buns,margarine,bottled,water,rum,red/blush,wine,long,life,bakery,product,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,sausage,chicken,Frozen,beef,slicesburger,meat,pip,fruit,berries,other,vegetables,whole,milk,dessert,butter,milk,UHT-milk,domestic,eggs,salty,snack,,,,,,,,,,,,,,,,,,,
302,dessert,frozen,potato,products,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,other,vegetables,whole,milk,frozen,potato,products,brown,bread,semi-finished,bread,salt,canned,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
305,sausage,Martadella,Frozen,beef,slicesburger,meat,tropical,fruit,pip,fruit,whole,milk,yogurt,sliced,cheese,frozen,vegetables,white,bread,dog,food,coffee,bottled,water,fruit/vegetable,juice,long,life,bakery,product,specialty,chocolate,specialty,bar,chocolate,marshmallow,hygiene,articles,pot,plants
306,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,frozen,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,onions,whole,milk,domestic,eggs,rolls/buns,margarine,bottled,water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,berries,whole,milk,flour,baking,powder,dog,food,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,tropical,fruit,pip,fruit,other,vegetables,frozen,vegetables,ice,cream,brown,bread,pastry,flour,pickled,vegetables,coffee,soda,misc.,beverages,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,
311,whole,milk,pastry,bottled,water,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,sausage,whole,milk,curd,cat,food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Halawa,sausage,curd,whipped/sour,cream,frozen,vegetables,jam,long,life,bakery,product,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,rolls/buns,bottled,water,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,citrus,fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,sausage,whole,milk,rolls/buns,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,whole,milk,brown,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Frozen,beef,slicesburger,meat,grapes,whole,milk,pastry,pasta,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,sausage,citrus,fruit,berries,other,vegetables,whole,milk,yogurt,whipped/sour,cream,cream,cheese,frozen,vegetables,domestic,eggs,pastry,margarine,soups,canned,fish,chocolate,candy,napkins,,,,,,,,,,,,,,,
321,root,vegetables,other,vegetables,whole,milk,curd,cream,cheese,domestic,eggs,misc.,beverages,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
322,pip,fruit,rolls/buns,prosecco,seasonal,products,pot,plants,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Frozen,beef,slices,domestic,eggs,pastry,long,life,bakery,product,waffles,specialty,chocolate,dishes,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,
324,sausage,rolls/buns,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,tropical,fruit,whole,milk,white,bread,brown,bread,misc.,beverages,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Frozen,beef,slices,finished,products,whipped/sour,cream,hard,cheese,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,citrus,fruit,other,vegetables,butter,brown,bread,baking,powder,bottled,water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,beef,citrus,fruit,root,vegetables,whole,milk,rolls/buns,pastry,coffee,seasonal,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Frozen,beef,slicesburger,meat,hard,cheese,frozen,vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,finished,products,dessert,pastry,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Martadella,rolls/buns,pastry,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,sausage,root,vegetables,soda,Pepsi,salty,snack,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,pip,fruit,Canned,Pepsi,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,sausage,citrus,fruit,berries,whipped/sour,cream,rolls/buns,Canned,Pepsi,specialty,bar,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,packaged,fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,chicken,citrus,fruit,root,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,coffee,female,sanitary,products,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,other,vegetables,cake,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Halawa,citrus,fruit,pip,fruit,butter,milk,beverages,frozen,meals,brown,bread,pickled,vegetables,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,
341,citrus,fruit,instant,coffee,fruit/vegetable,juice,Canned,Pepsi,chocolate,candy,house,keeping,products,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,
342,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,curd,soda,cake,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Martadella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,other,vegetables,whole,milk,frozen,vegetables,frozen,dessert,soups,soda,napkins,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Martadella,citrus,fruit,tropical,fruit,spread,cheese,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,citrus,fruit,tropical,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,other,vegetables,whipped/sour,cream,condensed,milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,tropical,fruit,berries,root,vegetables,whole,milk,butter,yogurt,whipped/sour,cream,sliced,cheese,hard,cheese,specialty,chocolate,napkins,,,,,,,,,,,,,,,,,,,,,,
356,beef,Frozen,beef,slicesburger,meat,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,citrus,fruit,tropical,fruit,whole,milk,pastry,margarine,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,turkey,beef,semi-finished,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Halawa,onions,soft,cheese,white,bread,pastry,salt,chocolate,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,chicken,root,vegetables,whole,milk,butter,milk,rolls/buns,soda,dish,cleaner,baby,cosmetics,kitchen,towels,,,,,,,,,,,,,,,,,,,,,,,,,
