TID,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22,Product23,Product24,Product25,Product26,Product27,Product28,Product29,Product30,Product31,Product32,Product33,Product34,Product35,Product36,Product37,Product38,Product39,Product40
362,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,frozen,meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Frozen,beef,slices,grapes,spread,cheese,ice,cream,frozen,potato,products,white,bread,oil,pudding,powder,,,,,,,,,,,,,,,,,,,,,,,,
365,tropical,fruit,dessert,yogurt,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Martadella,cat,food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,butter,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,other,vegetables,whole,milk,specialty,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,citrus,fruit,cream,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,sausage,chicken,other,vegetables,whole,milk,yogurt,cream,cheese,brown,bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,whole,milk,dessert,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,sausage,chicken,pip,fruit,berries,other,vegetables,dessert,yogurt,frozen,vegetables,frozen,meals,brown,bread,semi-finished,bread,ketchup,spices,ready,soups,soda,Canned,Pepsi,popcorn,,,,,,,,,,,,,,,
380,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,pip,fruit,whole,milk,rolls/buns,sugar,baking,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Martadella,root,vegetables,onions,other,vegetables,whole,milk,butter,frozen,vegetables,domestic,eggs,rolls/buns,Pepsi,Canned,Pepsi,napkins,,,,,,,,,,,,,,,,,,,,,,
383,citrus,fruit,root,vegetables,other,vegetables,coffee,Ginger,powder,chocolate,candy,seasonal,products,flower,(seeds),shopping,bags,,,,,,,,,,,,,,,,,,,,,,,
384,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Frozen,beef,slicesburger,meat,margarine,soda,bathroom,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,UHT-milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,other,vegetables,whipped/sour,cream,specialty,cheese,domestic,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,sausage,tropical,fruit,butter,frozen,meals,pasta,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,citrus,fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,yogurt,soft,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,pip,fruit,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Halawa,Martadella,beef,tropical,fruit,root,vegetables,other,vegetables,butter,rolls/buns,pastry,coffee,fruit/vegetable,juice,chocolate,hygiene,articles,newspapers,,,,,,,,,,,,,,,,,,,,,
394,sausage,bottled,water,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,white,bread,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,rolls/buns,long,life,bakery,product,candy,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,softener,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,beef,citrus,fruit,root,vegetables,onions,curd,hard,cheese,rolls/buns,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,sausage,rolls/buns,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,onions,whole,milk,yogurt,rolls/buns,brown,bread,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,tropical,fruit,other,vegetables,whole,milk,fruit/vegetable,juice,long,life,bakery,product,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,
403,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,sausage,whole,milk,yogurt,whipped/sour,cream,pastry,fruit/vegetable,juice,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Martadella,beef,other,vegetables,whole,milk,yogurt,margarine,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,ice,cream,sugar,coffee,bottled,water,soda,fruit/vegetable,juice,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,root,vegetables,domestic,eggs,white,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,citrus,fruit,berries,other,vegetables,whole,milk,dessert,whipped/sour,cream,cream,cheese,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Halawa,citrus,fruit,whole,milk,domestic,eggs,oil,Canned,honey,specialty,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,sausage,whole,milk,frozen,dessert,mustard,jam,bottled,water,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,cream,cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,curd,yogurt,frozen,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Powedered,honny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,other,vegetables,soda,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,tropical,fruit,whole,milk,domestic,eggs,brown,bread,soda,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,citrus,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,tropical,fruit,pastry,flour,rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,meat,other,vegetables,hard,cheese,frozen,meals,bottled,water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,onions,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Halawa,tropical,fruit,other,vegetables,whole,milk,butter,frozen,meals,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,yogurt,bottled,water,Canned,Pepsi,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,cream,cheese,coffee,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,soda,chocolate,specialty,bar,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,tropical,fruit,yogurt,rolls/buns,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,tropical,fruit,yogurt,UHT-milk,cream,cheese,processed,cheese,white,bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Martadella,root,vegetables,other,vegetables,whole,milk,butter,whipped/sour,cream,processed,cheese,domestic,eggs,rolls/buns,white,bread,pastry,jam,soda,waffles,candy,napkins,,,,,,,,,,,,,,,,,
435,flower,soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,white,bread,flour,oil,sugar,coffee,bottled,water,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,sausage,citrus,fruit,tropical,fruit,other,vegetables,tidbits,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,whole,milk,frozen,meals,soda,napkins,kitchen,towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,root,vegetables,other,vegetables,butter,domestic,eggs,bottled,water,soda,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,light,bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,berries,root,vegetables,herbs,other,vegetables,whole,milk,curd,cream,cheese,cereals,long,life,bakery,product,waffles,shopping,bags,,,,,,,,,,,,,,,,,,,,,
444,berries,other,vegetables,yogurt,whipped/sour,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Martadella,beef,onions,yogurt,UHT-milk,frozen,fish,rolls/buns,margarine,sugar,salty,snack,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,citrus,fruit,berries,butter,butter,milk,yogurt,sliced,cheese,frozen,vegetables,frozen,chicken,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
447,other,vegetables,whole,milk,yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Frozen,beef,slices,onions,whipped/sour,cream,hard,cheese,Pepsi,hygiene,articles,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Martadella,onions,other,vegetables,butter,dessert,beverages,UHT-milk,specialty,cheese,frozen,vegetables,rolls/buns,coffee,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,
450,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,canned,fish,fruit/vegetable,juice,make,up,remover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,nuts/prunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,root,vegetables,other,vegetables,domestic,eggs,sugar,instant,coffee,bottled,water,soda,Pepsi,red/blush,wine,waffles,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,
454,sausage,whole,milk,yogurt,hard,cheese,domestic,eggs,brown,bread,salty,snack,waffles,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
455,root,vegetables,dessert,yogurt,cream,cheese,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,sausage,Frozen,beef,slicesburger,meat,other,vegetables,rolls/buns,pasta,Instant,food,products,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Frozen,beef,slicesburger,meat,whole,milk,curd,rolls/buns,Instant,food,products,hygiene,articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
458,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,other,vegetables,rolls/buns,brown,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,other,vegetables,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,organic,sausage,other,vegetables,Ginger,powder,(appetizer),red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,other,vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,other,vegetables,whole,milk,curd,whipped/sour,cream,domestic,eggs,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,yogurt,rolls/buns,meat,spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Halawa,Frozen,beef,slicesburger,meat,whole,milk,rolls/buns,potato,products,mustard,coffee,waffles,chocolate,marshmallow,soap,newspapers,,,,,,,,,,,,,,,,,,,,,,,
466,tropical,fruit,frozen,vegetables,rolls/buns,semi-finished,bread,Pepsi,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,turkey,whole,milk,Ginger,powder,(appetizer),shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,other,vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,hard,cheese,rolls/buns,bottled,water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,beef,root,vegetables,other,vegetables,white,bread,canned,fruit,soda,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,domestic,eggs,cat,food,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,chicken,Martadella,frozen,vegetables,soda,Canned,Pepsi,Ginger,powder,(appetizer),hygiene,articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Frozen,beef,slices,other,vegetables,yogurt,domestic,eggs,semi-finished,bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,sausage,whole,milk,sliced,cheese,rolls/buns,brown,bread,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,dessert,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,chicken,tropical,fruit,onions,other,vegetables,butter,milk,yogurt,beverages,sliced,cheese,hard,cheese,rolls/buns,pastry,cereals,chocolate,napkins,house,keeping,products,,,,,,,,,,,,,,,,,,
478,whole,milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Martadella,other,vegetables,sliced,cheese,white,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,beef,root,vegetables,yogurt,whipped/sour,cream,frozen,vegetables,soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,whole,milk,brown,bread,dog,food,chocolate,hygiene,articles,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,citrus,fruit,tropical,fruit,other,vegetables,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,citrus,fruit,other,vegetables,butter,soda,Pepsi,Canned,Pepsi,waffles,chocolate,seasonal,products,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,sausage,beef,tropical,fruit,onions,frozen,vegetables,domestic,eggs,white,bread,semi-finished,bread,sugar,baking,powder,canned,fish,coffee,seasonal,products,,,,,,,,,,,,,,,,,,,
485,whole,milk,dessert,yogurt,whipped/sour,cream,specialty,cheese,kitchen,towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,cream,cheese,instant,coffee,salty,snack,waffles,kitchen,towels,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,dessert,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,sausage,Frozen,beef,slicesburger,meat,whole,milk,rolls/buns,oil,pickled,vegetables,softener,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,
490,organic,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,citrus,fruit,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,pip,fruit,other,vegetables,whole,milk,butter,curd,rolls/buns,margarine,baking,powder,bottled,water,Pepsi,Canned,Pepsi,cooking,chocolate,napkins,,,,,,,,,,,,,,,,,,,,
493,sausage,soft,cheese,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,soda,fruit/vegetable,juice,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Frozen,beef,slices,berries,root,vegetables,whole,milk,whipped/sour,cream,brown,bread,pastry,Pepsi,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
496,salty,snack,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,finished,products,whole,milk,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,grapes,pasta,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Frozen,beef,slices,Martadella,citrus,fruit,pip,fruit,root,vegetables,other,vegetables,butter,milk,beverages,sliced,cheese,frozen,vegetables,frozen,fish,oil,margarine,canned,vegetables,,,,,,,,,,,,,,,
501,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Powedered,honny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Frozen,beef,slices,butter,yogurt,hard,cheese,ice,cream,domestic,eggs,misc.,beverages,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,
504,napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,pip,fruit,herbs,other,vegetables,whole,milk,whipped/sour,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,potato,products,bottled,water,soda,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,brown,bread,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,beef,Frozen,beef,slicesburger,meat,other,vegetables,rolls/buns,sugar,Powedered,honny,hygiene,articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Halawa,sausage,other,vegetables,white,bread,pickled,vegetables,waffles,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,sausage,soda,Pepsi,Ginger,powder,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Martadella,whole,milk,pastry,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,condensed,milk,coffee,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,citrus,fruit,whole,milk,butter,pastry,semi-finished,bread,coffee,candy,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,whipped/sour,cream,brown,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,hygiene,articles,house,keeping,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Ginger,liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,packaged,fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,coffee,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,butter,cream,cheese,frozen,vegetables,soda,fruit/vegetable,juice,napkins,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,curd,beverages,pastry,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,rolls/buns,soda,specialty,bar,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Pepsi,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Halawa,beef,grapes,other,vegetables,Pepsi,red/blush,wine,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,rolls/buns,bottled,water,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,whole,milk,hard,cheese,brown,bread,Pepsi,hygiene,articles,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,root,vegetables,beverages,Instant,food,products,pickled,vegetables,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,chicken,Frozen,beef,slicesburger,meat,tropical,fruit,pip,fruit,root,vegetables,other,vegetables,rolls/buns,salt,canned,vegetables,coffee,soda,Canned,Pepsi,,,,,,,,,,,,,,,,,,,
534,soda,Canned,Pepsi,Ginger,powder,(appetizer),salty,snack,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,rolls/buns,soda,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Frozen,beef,slicesburger,meat,citrus,fruit,tropical,fruit,whole,milk,yogurt,brown,bread,napkins,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,
538,tropical,fruit,root,vegetables,whole,milk,frozen,vegetables,domestic,eggs,brown,bread,semi-finished,bread,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,
539,Martadella,root,vegetables,brown,bread,soda,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,UHT-milk,pastry,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Canned,Pepsi,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,sausage,tropical,fruit,butter,milk,spread,cheese,tidbits,bottled,water,soda,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,citrus,fruit,pip,fruit,grapes,berries,soft,cheese,rolls/buns,oil,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Martadella,onions,other,vegetables,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,beef,whole,milk,pastry,semi-finished,bread,specialty,chocolate,chocolate,marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,root,vegetables,herbs,whole,milk,curd,frozen,vegetables,frozen,dessert,sweet,spreads,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,